drug	disease	label
C15H10O4	Slackia_equolifaciens	1
C15H10O4	Slackia_isoflavoniconvertens	1
C15H10O5	Lactococcus_garvieae	1
C15H10O5	Adlercreutzia_equolifaciens	1
C15H10O5	Slackia_equolifaciens	1
C15H10O5	Slackia_isoflavoniconvertens	1
C54H92O23	Ruminococcus_sp.	1
C54H92O23	Oscillibacter_sp.	1
C54H92O23	Sutterella_sp.	1
C54H92O23	Holdemania_sp.	1
C18H15NO8S2	Eubacterium_rectale	1
As	Desulfovibrio_desulfuricans	1
C4H8O2	Firmicutes	1
C4H8O2	Faecalibacterium_prausnitzii	1
C21H20O6	Escherichia_coli	1
C9H11NO4	Helicobacter_pylori	1
C9H8N4O5	Enterobacter	1
C9H8N4O5	Staphylococcus	1
C9H8N4O5	Escherichia_coli	1
C9H8N4O5	Mycobacterium	1
C9H8N4O5	Bacillus	1
C14H11Cl2NO2	Escherichia_coli	1
C4H4FN3O	Escherichia_coli	1
C41H64O14	Clostridioides_difficile	1
C7H7NO3	Pseudomonas_aeruginosa	1
C7H7NO3	Citrobacter_freundii	1
C7H7NO3	Klebsiella_oxytoca	1
C7H7NO3	Klebsiella_pneumoniae_subsp._ozaenae	1
C7H7NO3	Morganella_morganii	1
C7H7NO3	Serratia_marcescens	1
C7H7NO3	Shigella_flexneri	1
C7H7NO3	Vibrio_cholerae_Species_662	1
C7H7NO3	Plesiomonas_shigelloides	1
C7H7NO3	Citrobacter_amalonaticus	1
C7H7NO3	Klebsiella_pneumoniae_subsp._rhinoscleromatis	1
C7H7NO3	Citrobacter_farmeri	1
C8H8N2O3S	Clostridium_sporogenes	1
C33H38N4O6	Escherichia_coli	1
C33H38N4O6	Bacteroides_fragilis	1
C33H38N4O6	Streptococcus_agalactiae	1
C33H38N4O6	Clostridium_perfringens_Species_1485	1
C14H18N2O5	Enterobacteriaceae	1
C14H18N2O5	Clostridium_leptum	1
C5H14NO+	Clostridia	1
C12H22O11	Bifidobacterium_Genus	1
C6H12NNaO3S	Clostridia	1
C6H12NNaO3S	Enterococcus	1
C9H18NO2	Lactobacillus	1
C9H11FN2O5	Mycoplasma	1
C10H11F3N2O5	Mycoplasma	1
C10H12FN5O4	Escherichia_coli	1
C9H11F2N3O4	Escherichia_coli	1
C9H11NO4	Lactobacillus_brevis	1
C8H10O2	Klebsiella	1
C25H43NO18	Escherichia_coli	1
C4H11N5	Escherichia	1
C4H11N5	Bacteroides	1
C4H11N5	Lactobacillus	1
C4H11N5	Phascolarctobacterium	1
C4H11N5	Blautia_Genus	1
C4H11N5	Butyricicoccus	1
C4H11N5	Bacteroidetes	1
C4H11N5	Proteobacteria	1
C4H11N5	Firmicutes	1
C4H11N5	Verrucomicrobia_Phylum	1
C4H11N5	Bifidobacterium_adolescentis	1
C4H11N5	Allobaculum	1
C8H17NO5	Coriobacteriaceae	1
C8H17NO5	Erysipelotrichaceae	1
C19H20N2O3S	Proteobacteria	1
C11H13BrN2O6	Bacteroides	1
C9H8O4	Enterococcus	1
C9H8O4	Lactobacillus	1
C25H29I2NO3	Escherichia_coli_Nissle_1917	1
C33H38N4O6	Bacteroides_vulgatus	1
C33H38N4O6	Erysipelatoclostridium_ramosum	1
C12H22O11	Clostridium	1
C25H38O5	Lactobacillus	1
C8H8N2O3S	Pseudomonas_fluorescens_Species_286	1
C8H8N2O3S	Escherichia_coli	1
C8H8N2O3S	Bacteroides_vulgatus	1
C8H8N2O3S	Enterococcus_faecalis_(Streptococcus_faecalis)	1
C8H8N2O3S	Bifidobacterium_bifidum_Species_1678	1
C8H8N2O3S	Lactobacillus_rhamnosus_Species_1578	1
C8H8N2O3S	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_Subspecies	1
C8H9NO2	Clostridium	1
C28H32O15	Escherichia	1
C28H32O15	Enterococcus	1
C28H32O15	Clostridium	1
C28H32O15	Lactobacillus	1
C28H32O15	Bifidobacterium_Genus	1
C33H38N4O6	Bacteroides	1
C33H38N4O6	Clostridium	1
C33H38N4O6	Bifidobacterium_sp.	1
C21H20O9	Eubacterium_rectale	1
C27H30O16	Bacteroides	1
C27H30O16	Clostridium	1
C27H30O16	Lactobacillus	1
C27H30O16	Eubacterium	1
C27H30O16	Bifidobacterium_sp.	1
C8H8N2O3S	Clostridium	1
C17H19NO3	Pseudomonas_aeruginosa	1
C9H18N6	Pseudomonas_putida	1
ClO-	Styrax_aureus	1
C22H26N2O4S	Bacteroides_thetaiotaomicron	1
C22H28FN3O6S	Firmicutes	1
C22H28FN3O6S	Lactobacillus_reuteri	1
C19H27N5O4	Bacteroides_dorei_DSM17855	1
C17H12Br2O3	Bifidobacterium_breve_DSM20213	1
C19H34Cl2N2O2	Clostridium_difficile_120	1
C15H22FN3O6	Salmonella_typhimurium_LT2	1
C19H20ClN3	Blautia_hansenii_DSM20583	1
C9H10N2O3S2	Eubacterium_rectale_ATCC33656	1
C24H28N2O4S2	Bacteroides_uniformis_ATCC8492	1
C24H31NO8	Blautia_hansenii_DSM20583	1
C15H12N2O2	Bacteroides_dorei_DSM17855	1
C20H21NO4	Bacteroides_dorei_DSM17855	1
C22H25N5O2	Bacteroides_dorei_DSM17855	1
C15H23N3O4S	Bacteroides_fragilis_HMW610	1
C14H24Cl2N2O3	Bacteroides_fragilis_3397	1
C27H38N2O4	Bacteroides_vulgatus_ATCC8482	1
C10H13N5O4	Anaerococcus_hydrogenalis_DSM7454	1
C15H23N3O2	Bacteroides_uniformis_ATCC8492	1
C17H19N5	Blautia_hansenii_DSM20583	1
C15H14ClN3O4S3	Blautia_hansenii_DSM20583	1
C18H14F4N2O4S	Bacteroides_fragilis_HMW610	1
C18H14F4N2O4S	Bacteroides_fragilis_HMW615	1
C17H14F3N3O2S	Clostridium_sporogenes_ATCC15579	1
C17H14F3N3O2S	Eubacterium_biforme_DSM3989	1
C20H21N	Blautia_hansenii_DSM20583	1
C29H31N7O	Bacteroides_vulgatus_ATCC8482	1
C12H21N	Eubacterium_biforme_DSM3989	1
C12H13NO2	Bacteroides_dorei_DSM17855	1
C25H31N3O6	Dorea_formicigenerans_ATCC27755	1
C25H31N3O6	Victivallis_vadensis_ATCC_BAA-548	1
C24H28N2O3	Akkermansia_muciniphila_ATCC_BAA-835	1
C24H28N2O3	Bacteroides_fragilis_HMW610	1
C15H14N4O	Blautia_hansenii_DSM20583	1
C23H29N3O2S2	Blautia_hansenii_DSM20583	1
C18H17NO5	Bacteroides_fragilis_HMW610	1
C22H26N2O2	Blautia_hansenii_DSM20583	1
C24H40N8O4	Blautia_hansenii_DSM20583	1
C24H40N8O4	Bacteroides_dorei_DSM17855	1
C24H29N5O8S	Blautia_hansenii_DSM20583	1
C24H29N5O8S	Bacteroides_dorei_DSM17855	1
C24H32N2O9	Blautia_hansenii_DSM20583	1
C24H32N2O9	Eubacterium_biforme_DSM3989	1
C19H25F3N2O6	Blautia_hansenii_DSM20583	1
C28H38N6O11S	Blautia_hansenii_DSM20583	1
C28H38N6O11S	Clostridium_difficile_120	1
C18H27N3O6S	Bacteroides_thetaiotaomicron_VPI-5482	1
C18H27N3O6S	Bacteroides_fragilis_DS-208	1
C18H27N3O6S	Bacteroides_fragilis_HMW610	1
C19H16O4	Bacteroides_vulgatus_ATCC8482	1
C19H16O4	Bacteroides_fragilis_HMW615	1
C22H31ClN4O7S2	Bacteroides_vulgatus_ATCC8482	1
C10H17N	Bacteroides_uniformis_ATCC8492	1
C10H17N	Bacteroides_fragilis_DS-208	1
C7H15Cl2N2O2P	Blautia_hansenii_DSM20583	1
C7H15Cl2N2O2P	Eubacterium_biforme_DSM3989	1
C7H15Cl2N2O2P	Bacteroides_fragilis_HMW615	1
C70H76N10O16	Bacteroides_dorei_DSM17855	1
C70H76N10O16	Bacteroides_WH2	1
C70H76N10O16	Bacteroides_fragilis_DS-208	1
C17H16F6N2O	Providencia_alcalifaciens_DSM30120	1
C17H16F6N2O	Roseburia_intestinalis_L1-82	1
C36H60N2O8S	Bacteroides_vulgatus_ATCC8482	1
C36H60N2O8S	Bacteroides_uniformis_ATCC8492	1
C36H60N2O8S	Eubacterium_biforme_DSM3989	1
C28H29F2N3O	Anaerotruncus_colihominis_DSM17241	1
C28H29F2N3O	Clostridium_bolteae_ATCCBAA-613	1
C28H29F2N3O	Akkermansia_muciniphila_ATCC_BAA-835	1
C22H19N3O4	Bacteroides_fragilis_HMW610	1
C22H19N3O4	Bacteroides_fragilis_HMW615	1
C21H29NO	Blautia_hansenii_DSM20583	1
C21H29NO	Bacteroides_dorei_DSM17855	1
C21H29NO	Bacteroides_vulgatus_ATCC8482	1
C14H19NO2	Blautia_hansenii_DSM20583	1
C19H24N2S	Blautia_hansenii_DSM20583	1
C19H24N2S	Bacteroides_dorei_DSM17855	1
C19H24N2S	Bacteroides_vulgatus_ATCC8482	1
C15H11N2NaO2	Bacteroides_dorei_DSM17855	1
C15H11N2NaO2	Bacteroides_vulgatus_ATCC8482	1
C15H11N2NaO2	Parabacteroides_distasonis_ATCC8503	1
C15H11N2NaO2	Bacteroides_uniformis_ATCC8492	1
C20H31NO	Blautia_hansenii_DSM20583	1
C20H31NO	Bacteroides_dorei_DSM17855	1
C20H31NO	Bacteroides_uniformis_ATCC8492	1
C10H16N6S	Bacteroides_dorei_DSM17855	1
C10H16N6S	Bacteroides_uniformis_ATCC8492	1
C10H16N6S	Bacteroides_thetaiotaomicron_VPI-5482	1
C10H16N6S	Bacteroides_fragilis_3397	1
C10H16N6S	Bacteroides_fragilis_T(B)9	1
C22H26ClN7O2S	Blautia_hansenii_DSM20583	1
C22H26ClN7O2S	Clostridium_bolteae_ATCCBAA-613	1
C22H26ClN7O2S	Lactobacillus_reuteri_CF48-3A_BEI_HM-102	1
C22H26ClN7O2S	Bacteroides_fragilis_HMW610	1
C26H35NO7	Blautia_hansenii_DSM20583	1
C26H35NO7	Bacteroides_vulgatus_ATCC8482	1
C26H35NO7	Bacteroides_fragilis_NCTC_9343	1
C26H35NO7	Bacteroides_uniformis_ATCC8492	1
C17H20N4S	Bacteroides_dorei_DSM17855	1
C17H20N4S	Bacteroides_fragilis_3397	1
C17H20N4S	Bacteroides_fragilis_T(B)9	1
C17H20N4S	Bacteroides_fragilis_HMW610	1
C17H20N4S	Bacteroides_fragilis_HMW615	1
C10H7Cl2N3O	Blautia_hansenii_DSM20583	1
C10H7Cl2N3O	Bacteroides_dorei_DSM17855	1
C10H7Cl2N3O	Eubacterium_biforme_DSM3989	1
C10H7Cl2N3O	Bacteroides_fragilis_T(B)9	1
C19H20ClNO4	Bacteroides_dorei_DSM17855	1
C19H20ClNO4	Bacteroides_vulgatus_ATCC8482	1
C19H20ClNO4	Bacteroides_fragilis_NCTC_9343	1
C19H20ClNO4	Parabacteroides_merdae_ATCC43184	1
C19H20ClNO4	Bacteroides_fragilis_HMW610	1
C26H39NO10	Blautia_hansenii_DSM20583	1
C26H39NO10	Bacteroides_dorei_DSM17855	1
C26H39NO10	Bacteroides_vulgatus_ATCC8482	1
C26H39NO10	Bacteroides_uniformis_ATCC8492	1
C26H39NO10	Victivallis_vadensis_ATCC_BAA-548	1
C11H12ClNO3S	Blautia_hansenii_DSM20583	1
C11H12ClNO3S	Bacteroides_vulgatus_ATCC8482	1
C11H12ClNO3S	Clostridium_asparagiforme_DSM15981	1
C11H12ClNO3S	Eubacterium_biforme_DSM3989	1
C19H35NO2	Bacteroides_dorei_DSM17855	1
C19H35NO2	Bacteroides_vulgatus_ATCC8482	1
C19H35NO2	Parabacteroides_distasonis_ATCC8503	1
C19H35NO2	Pretovella_copri_DSM18205	1
C19H35NO2	Ruminococcus_torques_ATCC27756	1
C20H21ClO4	Bacteroides_eggerthii_DSM20697	1
C20H21ClO4	Proteus_penneri_ATCC35198	1
C20H21ClO4	Pretovella_copri_DSM18205	1
C20H21ClO4	Clostridium_asparagiforme_DSM15981	1
C20H21ClO4	Bacteroides_fragilis_NCTC_9343	1
C20H21ClO4	Clostridium_difficile_120	1
C20H21ClO4	Bacteroides_fragilis_T(B)9	1
C35H38Cl2N8O4	Blautia_hansenii_DSM20583	1
C35H38Cl2N8O4	Bacteroides_uniformis_ATCC8492	1
C35H38Cl2N8O4	Akkermansia_muciniphila_ATCC_BAA-835	1
C35H38Cl2N8O4	Blautia_luti_DSM14534	1
C35H38Cl2N8O4	Clostridium_sporogenes_ATCC15579	1
C24H26BrN3O3	Blautia_hansenii_DSM20583	1
C24H26BrN3O3	Parabacteroides_distasonis_ATCC8503	1
C24H26BrN3O3	Bacteroides_uniformis_ATCC8492	1
C24H26BrN3O3	Clostridium_difficile_120	1
C24H26BrN3O3	Salmonella_typhimurium_LT2	1
C23H32N2O5	Bacteroides_cellulosilyticus_DSM14838	1
C23H32N2O5	Bacteroides_vulgatus_ATCC8482	1
C23H32N2O5	Bacteroides_uniformis_ATCC8492	1
C23H32N2O5	Eubacterium_biforme_DSM3989	1
C23H32N2O5	Bacteroides_fragilis_T(B)9	1
C13H22N4O3S	Clostridium_hathewayi_DSM13479	1
C13H22N4O3S	Parabacteroides_johnsonii_DSM18315	1
C13H22N4O3S	Bifidobacterium_breve_DSM20213	1
C13H22N4O3S	Enterococcus_faecalis_V583	1
C13H22N4O3S	Bacteroides_fragilis_T(B)9	1
C13H22N4O3S	Bacteroides_fragilis_DS-208	1
C13H22N4O3S	Bacteroides_fragilis_HMW610	1
C13H22N4O3S	Bacteroides_fragilis_HMW615	1
C18H19NOS	Blautia_hansenii_DSM20583	1
C18H19NOS	Bacteroides_dorei_DSM17855	1
C18H19NOS	Enterobacter_cancerogenus_ATCC35316	1
C18H19NOS	Bacteroides_uniformis_ATCC8492	1
C18H19NOS	Bacteroides_ovatus_ATCC8483	1
C22H29FO5	Bacteroides_dorei_DSM17855	1
C22H29FO5	Clostridium_scindens_ATCC35704	1
C22H29FO5	Bacteroides_uniformis_ATCC8492	1
C22H29FO5	Bacteroides_stercoris_ATCC43183	1
C22H29FO5	Bacteroides_thetaiotaomicron_VPI-5482	1
C22H29FO5	Bacteroides_fragilis_DS-208	1
C22H29FO5	Bacteroides_fragilis_HMW610	1
C21H27N5O4S	Bacteroides_dorei_DSM17855	1
C21H27N5O4S	Bacteroides_fragilis_NCTC_9343	1
C21H27N5O4S	Eubacterium_biforme_DSM3989	1
C21H27N5O4S	Bacteroides_fragilis_3397	1
C21H27N5O4S	Bacteroides_fragilis_T(B)9	1
C21H27N5O4S	Bacteroides_fragilis_HMW610	1
C29H35NO2	Blautia_hansenii_DSM20583	1
C29H35NO2	Bacteroides_dorei_DSM17855	1
C29H35NO2	Bacteroides_vulgatus_ATCC8482	1
C29H35NO2	Bacteroides_fragilis_NCTC_9343	1
C29H35NO2	Bacteroides_fragilis_DS-208	1
C29H35NO2	Bacteroides_fragilis_HMW610	1
C21H23N3OS	Bacteroides_caccae_ATCC43185	1
C21H23N3OS	Bacteroides_dorei_DSM17855	1
C21H23N3OS	Bacteroides_vulgatus_ATCC8482	1
C21H23N3OS	Parabacteroides_johnsonii_DSM18315	1
C21H23N3OS	Parabacteroides_distasonis_ATCC8503	1
C21H23N3OS	Bacteroides_fragilis_HMW610	1
C15H27N3O9P2	Anaerococcus_hydrogenalis_DSM7454	1
C15H27N3O9P2	Clostridium_bolteae_ATCCBAA-613	1
C15H27N3O9P2	Clostridium_symbiosum_ATCC1494_	1
C15H27N3O9P2	Clostridium_spiroforme_DSM1552	1
C15H27N3O9P2	Parabacteroides_distasonis_ATCC8503	1
C15H27N3O9P2	Bacteroides_pectinophilus_ATCC43243	1
C15H27N3O9P2	Bifidobacterium_breve_DSM20213	1
C15H27N3O9P2	Clostridium_difficile_120	1
C24H30O3	Bacteroides_dorei_DSM17855	1
C24H30O3	Bacteroides_vulgatus_ATCC8482	1
C24H30O3	Parabacteroides_johnsonii_DSM18315	1
C24H30O3	Bacteroides_fragilis_NCTC_9343	1
C24H30O3	Bacteroides_uniformis_ATCC8492	1
C24H30O3	Eubacterium_biforme_DSM3989	1
C24H30O3	Bacteroides_fragilis_HMW610	1
C24H30O3	Bacteroides_fragilis_HMW615	1
C17H17ClN6O3	Collinsella_aerofaciens_ATCC25986	1
C17H17ClN6O3	Anaerococcus_hydrogenalis_DSM7454	1
C17H17ClN6O3	Clostridium_symbiosum_ATCC1494_	1
C17H17ClN6O3	Ruminococcus_lactaris_ATCC29176	1
C17H17ClN6O3	Eubacterium_hallii_DSM3353	1
C17H17ClN6O3	Bacteroides_dorei_DSM17855	1
C17H17ClN6O3	Eubacterium_rectale_ATCC33656	1
C17H17ClN6O3	Marvinbryantia_formatexigens_DSM_14469	1
C22H26F3N3OS	Blautia_hansenii_DSM20583	1
C22H26F3N3OS	Bacteroides_dorei_DSM17855	1
C22H26F3N3OS	Bacteroides_vulgatus_ATCC8482	1
C22H26F3N3OS	Eubacterium_ventriosum_ATCC27560	1
C22H26F3N3OS	Parabacteroides_distasonis_ATCC8503	1
C22H26F3N3OS	Pretovella_copri_DSM18205	1
C22H26F3N3OS	Bacteroides_uniformis_ATCC8492	1
C22H26F3N3OS	Roseburia_intestinalis_L1-82	1
C19H24N2O6	Bacteroides_dorei_DSM17855	1
C19H24N2O6	Bacteroides_vulgatus_ATCC8482	1
C19H24N2O6	Bacteroides_fragilis_NCTC_9343	1
C19H24N2O6	Bacteroides_uniformis_ATCC8492	1
C19H24N2O6	Bacteroides_fragilis_T(B)9	1
C19H24N2O6	Bacteroides_fragilis_DS-208	1
C19H24N2O6	Bacteroides_fragilis_HMW610	1
C22H32ClNO3	Blautia_hansenii_DSM20583	1
C22H32ClNO3	Bacteroides_dorei_DSM17855	1
C22H32ClNO3	Bacteroides_vulgatus_ATCC8482	1
C22H32ClNO3	Bacteroides_uniformis_ATCC8492	1
C22H32ClNO3	Eubacterium_biforme_DSM3989	1
C22H32ClNO3	Bacteroides_fragilis_HMW610	1
C47H51NO14	Bacteroides_uniformis_ATCC8492	1
C47H51NO14	Bacteroides_thetaiotaomicron_VPI-5482	1
C47H51NO14	Bacteroides_fragilis_DS-208	1
C47H51NO14	Bacteroides_fragilis_HMW615	1
C27H36N2O4	Bacteroides_dorei_DSM17855	1
C27H36N2O4	Bacteroides_vulgatus_ATCC8482	1
C27H36N2O4	Bacteroides_uniformis_ATCC8492	1
C27H36N2O4	Bacteroides_fragilis_HMW610	1
C27H36N2O4	Bacteroides_fragilis_HMW615	1
C12H20N2O3S	Pretovella_copri_DSM18205	1
C12H20N2O3S	Bacteroides_uniformis_ATCC8492	1
C12H20N2O3S	Bacteroides_ovatus_ATCC8483	1
C12H20N2O3S	Bacteroides_thetaiotaomicron_VPI-5482	1
C12H20N2O3S	Bacteroides_fragilis_3397	1
C12H20N2O3S	Bacteroides_fragilis_DS-208	1
C12H20N2O3S	Bacteroides_fragilis_HMW610	1
C12H20N2O3S	Bacteroides_fragilis_HMW615	1
C17H15N5O	Blautia_hansenii_DSM20583	1
C17H15N5O	Bacteroides_dorei_DSM17855	1
C17H15N5O	Bacteroides_vulgatus_ATCC8482	1
C17H15N5O	Bacteroides_fragilis_NCTC_9343	1
C17H15N5O	Bacteroides_uniformis_ATCC8492	1
C17H15N5O	Bacteroides_fragilis_HMW610	1
C17H15N5O	Bacteroides_fragilis_HMW615	1
C24H21F2NO3	Bacteroides_uniformis_ATCC8492	1
C24H21F2NO3	Bacteroides_stercoris_ATCC43183	1
C24H21F2NO3	Clostridium_sporogenes_ATCC15579	1
C24H21F2NO3	Bacteroides_fragilis_3397	1
C24H21F2NO3	Bacteroides_fragilis_T(B)9	1
C24H21F2NO3	Bacteroides_fragilis_DS-208	1
C24H21F2NO3	Bacteroides_fragilis_HMW615	1
C15H21N3O3S	Bacteroides_dorei_DSM17855	1
C15H21N3O3S	Bacteroides_vulgatus_ATCC8482	1
C15H21N3O3S	Parabacteroides_distasonis_ATCC8503	1
C15H21N3O3S	Bacteroides_fragilis_3397	1
C15H21N3O3S	Bacteroides_fragilis_DS-208	1
C15H21N3O3S	Bacteroides_fragilis_HMW610	1
C15H21N3O3S	Bacteroides_fragilis_HMW615	1
C19H15ClN2O4	Bacteroides_dorei_DSM17855	1
C19H15ClN2O4	Parabacteroides_distasonis_ATCC8503	1
C19H15ClN2O4	Bacteroides_uniformis_ATCC8492	1
C19H15ClN2O4	Bacteroides_stercoris_ATCC43183	1
C19H15ClN2O4	Bacteroides_ovatus_ATCC8483	1
C19H15ClN2O4	Bacteroides_fragilis_3397	1
C19H15ClN2O4	Bacteroides_fragilis_HMW610	1
C19H15ClN2O4	Bacteroides_fragilis_HMW615	1
C23H20N2O3S	Parabacteroides_johnsonii_DSM18315	1
C23H20N2O3S	Bacteroides_fragilis_NCTC_9343	1
C23H20N2O3S	Bacteroides_fragilis_DS-208	1
C23H20N2O3S	Bacteroides_fragilis_HMW610	1
C23H20N2O3S	Bacteroides_fragilis_HMW615	1
C17H21NO3	Blautia_hansenii_DSM20583	1
C17H21NO3	Bacteroides_uniformis_ATCC8492	1
C17H21NO3	Bacteroides_thetaiotaomicron_VPI-5482	1
C17H21NO3	Bacteroides_fragilis_3397	1
C17H21NO3	Bacteroides_fragilis_T(B)9	1
C17H21NO3	Bacteroides_fragilis_DS-208	1
C17H21NO3	Bacteroides_fragilis_HMW615	1
C23H36N2O2	Bacteroides_dorei_DSM17855	1
C23H36N2O2	Bacteroides_vulgatus_ATCC8482	1
C23H36N2O2	Parabacteroides_distasonis_ATCC8503	1
C23H36N2O2	Bacteroides_fragilis_NCTC_9343	1
C23H36N2O2	Bacteroides_uniformis_ATCC8492	1
C23H36N2O2	Akkermansia_muciniphila_ATCC_BAA-835	1
C23H36N2O2	Bacteroides_fragilis_DS-208	1
C23H36N2O2	Bacteroides_fragilis_HMW610	1
C23H36N2O2	Bacteroides_fragilis_HMW615	1
C17H21NO3	Bacteroides_ovatus_ATCC8483	1
C17H21NO3	Bacteroides_dorei_DSM17855	1
C17H21NO3	Bacteroides_fragilis_HMW610	1
C17H17ClO6	Bacteroides_dorei_DSM17855	1
C17H17ClO6	Bacteroides_vulgatus_ATCC8482	1
C17H17ClO6	Parabacteroides_distasonis_ATCC8503	1
C17H17ClO6	Bacteroides_fragilis_NCTC_9343	1
C17H17ClO6	Bacteroides_uniformis_ATCC8492	1
C17H17ClO6	Bacteroides_thetaiotaomicron_VPI-5482	1
C17H17ClO6	Bacteroides_fragilis_3397	1
C17H17ClO6	Bacteroides_fragilis_T(B)9	1
C17H17ClO6	Bacteroides_fragilis_DS-208	1
C17H17ClO6	Bacteroides_fragilis_HMW615	1
C12H15NO3	Blautia_hansenii_DSM20583	1
C12H15NO3	Bacteroides_dorei_DSM17855	1
C12H15NO3	Bacteroides_vulgatus_ATCC8482	1
C12H15NO3	Parabacteroides_distasonis_ATCC8503	1
C12H15NO3	Bacteroides_pectinophilus_ATCC43243	1
C12H15NO3	Bacteroides_fragilis_NCTC_9343	1
C12H15NO3	Bacteroides_uniformis_ATCC8492	1
C12H15NO3	Bacteroides_fragilis_HMW610	1
C12H15NO3	Bacteroides_fragilis_HMW615	1
C19H21NO4	Pretovella_copri_DSM18205	1
C19H21NO4	Bacteroides_uniformis_ATCC8492	1
C19H21NO4	Bacteroides_ovatus_ATCC8483	1
C19H21NO4	Bacteroides_dorei_DSM17855	1
C19H21NO4	Bacteroides_thetaiotaomicron_VPI-5482	1
