node	type
C10H12N2O5S	drug
C26H28ClNO	drug
C23H26ClN	drug
C15H14ClN3O4S	drug
C28H32ClN3O8S	drug
C9H4Cl3IO	drug
C23H32ClNO2	drug
C20H28Cl3N3O3	drug
C29H34Cl2N2O2	drug
C23H26N2O5S	drug
C16H17N3O5S	drug
C21H29NO4S	drug
C21H22ClN	drug
C28H28ClNO4S	drug
C23H27NO5S	drug
C20H25N5O7S2	drug
C16H17N5O7S2	drug
C21H27N5O9S2	drug
C22H32N6O12S2	drug
C21H28ClN3O7S	drug
C18H19N3O5S	drug
C22H21N8O8PS4	drug
C15H16ClN3O5S	drug
C14H10O3	drug
C15H14N4O6S2	drug
C26H41Br2NO4	drug
C25H30ClI2NO3	drug
C20H22N8O6S2	drug
C25H29Cl3N2	drug
C27H33NO3	drug
C26H28N2	drug
C17H16ClN3O	drug
C14H16N4	drug
C46H54N6O8S2	drug
C23H28N2O5S	drug
C16H16N4O8S	drug
C20H22N4O10S	drug
C19H17N3O4S2	drug
C31H33N3O6S	drug
C12H11N2NaO3	drug
C13H18ClN3O4S2	drug
C18H33ClN2O5S	drug
C22H19N4NaO8S2	drug
C27H30ClNO11	drug
C26H33NO6	drug
C27H34I2N4	drug
C88H100Cl2N10O28	drug
C22H24N2O8	drug
C22H25N3O7S	drug
C22H45N5O14	drug
C48H72O14	drug
C19H17ClFN3O5S	drug
C23H21ClO3	drug
C3H7O4P	drug
C14H26Cl2N2O7	drug
C42H88N14O36S3	drug
C24H30Cl2N2O3	drug
C23H20F2N2O4	drug
C18H20FN5O4	drug
C17H21F2N3O3	drug
C18H29N3O5S	drug
C31H33F2N4O11P	drug
C20H16Cl3N3O4S	drug
C19H21Cl2N3	drug
C18H16Cl3N3O3S	drug
C21H32N2O	drug
C21H45N3	drug
C10H12O	drug
C18H20N3NaO3S	drug
C24H30ClNO4	drug
C13H17N3O2	drug
C34H57BrN2O4	drug
C11H14N4O2	drug
C22H19ClO3	drug
C19H15NO6	drug
C23H36Cl3N3O3	drug
C5H4N4S	drug
C34H48Na2O7	drug
C21H25N5O8S2	drug
C23H27N3O7	drug
C18H14F3N3O4S	drug
C23H45N5O14	drug
C19H17NOS	drug
C12H10N2O5	drug
C10H13N5O4S	drug
C16H16Cl3N	drug
C23H30O3	drug
C15H10O2	drug
C21H33N3O5S	drug
C13H16N2O8S	drug
C17H18FN3O3S	drug
C19H18ClF2N3O3	drug
C43H65FN6O10	drug
C10H20N2S4	drug
C6H10N6O	drug
C12H14N4O2S	drug
C88H97Cl2N9O33	drug
C80H106Cl2N11O27P	drug
C43H65N5O10	drug
C20H15F3N4O3	drug
C20H16N2O4	drug
C10H12ClN5O3	drug
C10H12N4O3S	drug
C22H28N4O6	drug
C10H13N5O5	drug
C10H11ClFN5O3	drug
C27H29NO10	drug
C11H8O2	drug
C15H18N4O5	drug
C11H15N5O5	drug
C25H22N4O8	drug
C13H20N6O4	drug
C15H14O3	drug
C21H20O10	drug
C3H6N6	drug
C21H41N5O11	drug
C23H28ClN	drug
C17H36N4O14S	drug
C44H76N4O10S2	drug
C13H21ClN2O	drug
C22H32N2O5S	drug
C20H40N6O8S	drug
C14H28ClNO6	drug
C30H41N3O10S2	drug
C21H26BrNO3	drug
C21H22Cl2N4OS	drug
C6H6N6O2	drug
C35H35NO12	drug
C12H17NO3	drug
C21H34ClN3O5S	drug
C32H40ClNO4	drug
C22H29FO4	drug
C21H26Cl2F3N3S	drug
C26H31Cl3F3NO	drug
C28H44ClNO3S	drug
C28H34Cl2F2N2O	drug
C29H35NO8	drug
C19H36ClNO2	drug
C15H12O4	drug
C95H146O28	drug
C22H28Cl2F3N3OS	drug
C29H31F2N3O	drug
C28H31BrN2O2	drug
C14H14ClN3	drug
C18H30ClNO3	drug
C8H11NO5S	drug
C14H9N4NaO5	drug
C14H10Cl4	drug
